well_id,vid
11281,5992
11305,7096
11289,7103
11335,7753
11319,9407
11263,7388
11326,4146
11318,6735
11302,3429
11286,4531
11262,9024
11296,8416
11288,2117
11280,240
11328,772
11320,4589
11336,1711
11303,1015
11295,1569
11272,10063
11261,8892
11245,6529
11222,7976
11214,821
11198,5769
11244,7249
11197,9938
11204,9946
11180,3871
11189,6456
11181,6458
11129,9549
11121,1238
11097,5121
11088,6031
11072,8423
11112,8798
11104,6477
11144,10144
11277,3333
11120,9751
11276,3300
11150,2711
11142,2357
11134,3461
11095,300
11087,7133
11079,625
11071,2349
11063,300
11151,6010
11143,552
11149,4546
11116,2714
11108,3642
11100,9006
11140,4443
11132,8971
11077,3881
11069,9958
11061,1329
11068,4767
10997,4767
10965,5951
10996,1140
11084,6562
10988,57
11053,9160
11148,7886
13545,1433
13521,2449
13513,2449
13394,1709
13457,5486
11311,9381
11342,2235
11334,2063
11294,4144
11309,4873
11293,521
11312,8803
11287,6492
11279,2965
11264,7961
11206,7976
11190,8072
11174,3383
11300,4289
11236,9798
11228,9681
13881,9681
14073,9938
11292,7062
11284,3277
11308,5781
11113,5106
11105,5104
11096,1326
11080,3816
11128,3333
11269,9751
11065,8340
11126,2071
11135,5984
11111,10015
11085,6585
11101,7209
11117,9786
11109,7346
11078,6233
11141,8641
11013,6421
11005,3527
10966,9162
11045,9161
10980,6562
11028,6659
11020,4868
11060,4868
11012,7609
11004,118
11044,746
10989,7586
13417,5929
11021,9229
10964,1862
10972,7574
11257,6765
11344,9828
11127,10014
11297,7100
11256,8535
11327,1209
11271,1899
11255,9269
11182,45
11166,650
11212,5513
11064,8929
11172,5849
11081,10044
11073,154
11119,552
11103,3777
11086,1890
11070,4152
11124,8155
11092,57
11052,3647
11036,8252
10973,6559
10981,5929
11076,7652
13529,7187
13449,5625
13441,5486
13433,5623
13434,4402
13418,4402
13393,9400
11343,6354
13401,9025
14081,7833
13409,8072
13889,650
11136,689
13497,9786
13489,7346
11156,995
14065,9958
13873,9161
13425,1140
126432538,2243
126439285,5468
126432216,6079
126435075,5645
126431705,7546
126434371,3888
126432638,5546
126435772,9905
126431655,9164
126432588,8283
126435758,1400
126435041,8916
126435073,2391
126435137,479
126435105,2085
126435011,1501
126434979,9530
126435153,8777
126435027,7767
126435091,10102
126435059,10131
126435155,2488
126435125,4383
126435093,10122
126435095,3923
126435063,1696
126435009,8420
126434532,2909
126434469,6995
126434359,8338
126434583,8339
126434565,3448
126434472,9456
126434329,1979
126434399,2100
126434381,4621
126434326,7548
126434502,5331
126434483,1065
126434463,5688
126434397,1767
126434527,1983
126434322,5761
126434557,7114
126434437,6089
126434395,1987
126432591,8077
126434993,8076
126432558,0
126432608,8739
126432640,1989
126432507,1988
126432570,4065
126432487,6463
126432636,6455
126432556,9293
126432505,7072
126432622,613
126432521,9968
126432184,6067
126432150,3872
126432501,3872
126432134,3876
126432072,3282
126432088,7348
126431691,6070
126431723,2733
126431689,8984
126431787,7885
126431803,9838
126434319,2133
126426475,6668
126426411,2200
126426523,4938
126426551,8261
126426505,3651
126426489,5932
126426473,5955
126426391,7258
126426487,4851
126426519,9139
127687556,2401
127687492,3254
126435025,240
126435089,9824
126434995,3456
126435043,6878
126435109,10121
126434983,9578
126435015,5241
126434999,5240
126435079,10111
126435127,3199
126435111,136
126435065,9661
126435001,443
126434383,4680
126434446,4212
126434420,4212
126434332,5121
126434385,10144
126434466,5031
126434563,1387
126434356,8527
126434581,2310
126434417,1725
126434352,8894
126434378,6781
126434349,2281
126434324,7699
126434440,1767
126434485,7754
126434393,2989
126434499,1956
126434480,6045
126434459,2379
126434433,2104
126434574,809
126434345,2289
126432656,5625
126432624,3314
126432491,85
126432554,5895
126432586,4615
126432652,2624
126432620,5765
126434977,7072
126432670,3290
126432654,7071
126432606,5548
126432086,661
126432232,9961
126432104,6970
126432182,6572
126432166,9004
126432053,677
126432132,4790
126432116,733
126431641,8652
126432068,8652
126431707,9205
126431675,2210
126431755,2733
126431721,1150
126431753,5833
126431625,4749
126432485,4938
126426507,529
126426491,7652
126426425,4854
126426409,1140
126431639,3651
126426423,4770
126426471,1138
126426455,3058
126431623,3056
126426503,257
126432051,257
126435057,5315
126435121,4587
126435123,6799
126435107,7725
126435013,69
126435077,6855
126435061,8396
126435029,1930
126435157,9576
126435031,6021
126435159,7808
126435143,5262
126435049,9667
126435017,2365
126434985,5265
126434401,1940
126434508,2908
126434422,5105
126434530,2494
126434506,7103
126434461,5903
126434524,1729
126434559,7488
126434577,6437
126434413,1769
126434561,7958
126434504,6350
126434409,2110
126434521,8123
126434375,4355
126432574,8076
126432540,1456
126432672,5557
126432536,4066
126432604,75
126432668,1558
126432572,9330
126432519,1350
126432503,8770
126432489,9908
126432070,992
126432168,433
126432102,902
126432056,611
126434342,4792
126432100,4727
126431657,1004
126431739,813
126431772,5527
126431805,4275
126431789,4806
126431737,120
126426537,8992
126426553,3635
126426569,8243
126426443,2157
126426427,4834
126426567,8946
126426535,3404
126426457,7623
126426441,7626
126426393,3062
126426407,7257
126426439,2817
126435736,3266
126435712,8315
126435886,2285
126435870,5076
126435854,5040
126435838,5974
126435822,1651
126435728,5746
126435774,7126
126435742,3186
126435726,2007
126435710,3961
126435884,2531
126435868,3351
126435852,8024
126435836,1437
126435820,3095
126435788,3090
126435756,9905
126435740,4587
126439253,703
126435708,5548
126439237,7259
141667089,6867
141667177,4408
141667207,3538
139409861,5974
139409845,7693
139409841,3288
139409825,2461
127687007,2714
127687057,7053
127687001,1619
127687065,2191
141667185,628
141667169,10118
141667153,3922
141667137,5238
141667229,2862
141667103,2330
141667199,1401
141667183,625
141667263,5564
141667179,6300
141667227,5189
141667195,9531
141667133,2345
141667117,5344
141667213,2489
141667197,1784
141667255,6934
141667145,4408
141667129,6945
141667209,8348
141667193,7313
141667131,2757
141667083,2757
139409907,8552
139409811,6716
139409749,3395
139409795,8738
139409779,3987
139409767,8543
139409799,5303
139409847,1579
139409911,581
141667125,2310
139409801,9401
141667189,5686
141667157,7107
141667253,8528
141667237,10037
141667221,4344
139409921,1503
139409855,8163
139409839,9007
139409887,3971
139409793,539
139409809,1969
139409823,9335
139409775,812
127687105,8441
127687089,6309
127686947,6572
127686995,4895
127687027,5527
127686991,9081
141667093,8998
127687055,1627
127687039,7545
127687071,6686
127687119,7886
127687103,7888
127687041,9960
127687025,9960
127686957,2169
127687005,8685
127687085,1612
127687037,7659
127687021,1158
127687097,7580
141667077,8203
127686955,178
127687113,3404
127687067,9141
127687051,9141
127686937,8188
127686969,1137
127687049,517
127687117,4859
127687101,4861
149052680,10232
147712554,2559
149052854,10218
141667121,6016
141667245,1945
141667119,3771
141667261,4239
141667151,5234
141667247,5088
141667211,1683
141667113,3762
141667241,10051
141667143,605
139409751,6833
139409925,10077
139409831,8464
139409815,2378
139409879,3802
139409785,5036
139409747,4280
139409857,1367
127686941,7585
127686989,8680
127687003,1622
127687083,3650
127687019,2668
147712570,5758
149052790,7814
149052774,9646
149052742,6896
149052838,7392
149052822,3497
149052806,9672
149052694,573
141667135,1687
141667181,10034
147712584,7404
156434441,5587
141667175,45
139409859,9319
139409797,7354
139409765,1574
139409895,1040
139409927,3839
141667173,3336
139409761,662
127687073,9006
127687043,8513
156434425,332
149052678,7580
127686939,654
139409741,1622
127686987,1599
156434409,3650
127686985,739
127687033,6206
127686943,2204
141667105,7798
141667217,10001
141667087,8389
141667167,9603
141667231,10019
141667215,6100
141667163,5820
141667101,10133
141667085,10133
141667259,10133
141667243,3510
141667149,9464
141667165,10013
141667239,6930
141667223,6295
141667097,4564
141667081,8790
141667161,7404
141667225,5122
141667115,5602
141667099,10145
141667257,5595
141667147,10034
141667191,4022
141667159,2480
141667127,5481
141667111,9991
141667095,9979
141667079,9980
139409891,7388
139409875,6736
139409843,62
139409781,6515
139409763,8076
139409783,7957
139409909,7112
139409893,3905
139409877,1211
139409829,1576
139409813,1068
139409769,542
139409753,5020
141667205,5686
141667141,7105
139409905,9895
139409889,5469
139409873,1365
139409871,366
139409903,3966
139409777,5795
139409745,6235
139409919,2956
139409791,5006
139409759,6240
139409869,5011
139409853,9006
127686979,6412
127686963,8969
127687011,9188
141667109,5527
127686975,8998
127687023,8984
127687087,9209
127687009,9948
127687115,2129
127687099,8967
127687069,1612
127687053,4823
127687081,8203
127686971,6659
127687035,735
127686953,3399
139409757,2200
127687017,7270
159439107,2436
159226173,4986
159226157,7033
159226141,5555
159226109,3315
159226219,5468
159226203,9892
159226187,5468
159226171,9892
159226155,817
159225882,9670
159225866,688
159225850,8569
159225834,8563
159225818,8571
159225802,9670
159225786,7816
159226119,2360
159226103,9633
159226167,3173
159226151,1252
159226135,3172
159225722,1408
159226215,7140
159226199,5664
159226183,7125
159225770,5086
159225754,982
159225738,5558
159226087,984
159226071,3949
159226055,3949
159226213,8037
159226117,10237
159226165,7868
159226149,426
159226133,1063
159226085,1950
159226069,7349
159226053,1101
159226037,2447
159226195,9899
159226179,7071
159226163,5547
159226147,5548
158158349,5593
158158219,7961
159226035,8105
159226099,1946
157772868,8962
157772849,4088
158158257,6283
158158305,1935
158402926,10024
158402894,2511
158158255,6839
158158319,41
158158367,2307
158158379,8826
158158221,2393
158158301,2299
158158381,2500
158158249,7525
158158297,6051
158158377,9489
158158361,1225
158158393,5589
158158283,8529
158158389,8105
158158341,1837
158158231,8726
158158215,1830
158158279,1201
158158295,7114
158158217,8547
158158275,5287
158158371,367
158158245,531
157773006,3365
157772864,8761
157773040,8045
157772944,124
157772912,3270
157772908,7347
157772876,9007
157772972,5857
157772894,1186
157772878,2257
158158243,3870
157773036,3870
157772942,7060
157772922,2162
157772970,803
157773016,5016
157773000,4924
157772874,7926
157773032,6633
157772998,1609
157772856,1006
157773014,1540
158158211,9951
157772872,9206
157772952,3884
157772918,1608
157772884,4778
157772900,2040
157772870,256
157772914,24
157772994,740
157772962,4772
157772946,4851
157773026,5935
158158289,9627
158158273,9627
158158241,4241
158158337,1251
158402942,3177
158158385,1410
158158369,9610
158158223,7835
158158397,8782
158158271,2836
158158331,6935
158158315,4664
158158351,3935
158158335,987
158158303,690
158158225,819
158158363,7758
158158347,1039
158158285,5119
158158365,7154
158402878,6526
158158265,6526
158158233,3598
158158329,8698
158158345,9403
158158235,1390
158158251,2311
158158263,5975
158158327,7116
157773024,8138
158158387,468
158158355,3375
158158229,1638
158158325,2236
158158309,8553
158158261,9269
157773022,4064
157772960,6735
157772992,2461
157772892,8977
157772862,1969
157772974,7060
157772926,611
157772982,7541
157772904,2464
157772888,9948
157772984,2733
157772936,6075
158402846,8987
157772916,393
157772996,4870
157772964,6641
157772948,516
157772854,7606
157772898,895
157772882,5784
157772866,3402
157772978,4771
157772930,7619
157773010,2193
159226125,3315
158158267,8531
158158307,5387
157773002,9168
157772906,3280
160091612,5358
158158353,565
158158321,6858
158402910,7725
158158239,2320
158158299,8927
158158287,2398
158158383,2307
158158399,6106
158158253,4400
158158237,7401
158158395,988
158158269,7304
158158317,6084
158158333,5604
158158281,9710
158158313,4586
158158373,3379
158158357,4643
158158247,3719
158158343,2454
158158311,6089
158158391,8539
158158375,7383
158158359,6787
158158291,2867
158158293,1773
158158277,4364
157772990,3983
157772880,2614
157772896,2067
157773008,5532
157772988,4440
157772956,8049
157772940,7422
157773020,3422
157773004,2581
157772958,3891
158402862,3892
157772910,7043
158158227,9075
157772986,9178
157772890,814
157772858,1327
157772966,3644
157772920,9343
157772902,8987
157772886,2143
157772950,6420
157772934,109
157772852,4093
157772980,7568
157772932,6661
157773028,7656
157773012,6693
160091580,2438
160091883,8603
787,2463
961,5014
969,5594
973,2504
989,1440
1051,9426
964,4351
980,7957
988,7963
1010,365
1018,8060
1026,8641
1002,1811
970,9011
978,6569
986,4703
963,706
1050,2952
362,7580
994,8156
972,4353
974,5621
982,9915
998,3268
990,5485
997,9095
1005,1313
883,2239
907,1185
892,9922
900,3495
908,821
915,9322
722,1022
914,7634
916,6087
873,9381
905,7596
866,6621
953,2715
882,7545
874,1588
898,6398
890,3513
906,1626
875,662
891,9273
899,1477
932,824
924,2742
677,7093
748,1388
756,7095
716,2533
691,5044
723,1209
739,762
731,7716
754,7207
746,6145
738,6146
730,2939
706,3471
413,5774
673,9576
681,6851
674,6586
698,4287
715,6828
699,5044
612,7745
620,9495
628,5134
644,10030
596,5062
652,9403
636,5134
194,3650
281,1615
257,7621
275,3501
195,298
203,1256
234,1246
242,4564
227,6884
235,10094
282,1301
131,6655
265,3059
178,8237
218,938
177,6888
129,2070
193,9514
137,1496
145,5184
99,2191
241,2573
186,8237
185,1254
771,2463
777,5468
540,9954
811,8498
803,9929
795,608
858,5541
779,9971
844,2478
852,9988
860,9910
773,9909
841,2030
859,1646
825,5926
1265,5106
490,1378
1321,1796
1313,7195
1297,1232
1289,3608
509,5468
1337,7093
1281,5997
1243,4187
1036,1179
553,5680
659,5584
667,5594
642,8728
650,8729
658,8731
666,9381
