,well_id,structure_id,slab_num,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,corrected_mni_x,corrected_mni_y,corrected_mni_z,sampleID,probe2label,probe2dist
502,126434393,4013,10,CX,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",111794384,104,37,118,-13.0,-27.0,72.0,-12.228471127993199,-30.2362774909183,70.03148122326729,H0351_1012,184,1.0
503,126434395,4143,10,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",111794575,154,136,117,-63.0,-26.0,-27.0,-61.9786323663128,-27.437976863688302,-24.5381426419236,H0351_1012,134,0.0
504,126434397,4149,11,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",111795833,144,134,129,-53.0,-38.0,-25.0,-53.0031571660077,-36.945978715939106,-20.1067443328917,H0351_1012,134,0.0
505,126434399,4230,9,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",1408337,98,63,109,-7.0,-18.0,46.0,-6.153380156063861,-22.138756516227797,47.6727867471414,H0351_1012,152,0.0
506,126434401,4120,13,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",112193675,99,61,149,-8.0,-58.0,48.0,-6.54255049660817,-57.3952752108764,47.4107628415115,H0351_1012,170,0.0
508,126434409,4073,10,CX,PCLa-s,"paracentral lobule, anterior part, left, superior bank of gyrus",111794385,94,38,117,-3.0,-26.0,71.0,-2.9408589195080297,-28.3875013533849,68.4538829003688,H0351_1012,152,0.0
510,126434413,4150,11,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",111795834,148,141,129,-57.0,-38.0,-32.0,-56.4009848422992,-38.87181197408,-29.517726068277803,H0351_1012,134,3.0
511,126434417,4231,9,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",1408339,97,79,109,-6.0,-18.0,30.0,-6.7402935014211,-20.3913815898748,28.3476245231107,H0351_1012,140,1.0
512,126434420,4099,13,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",112194025,131,66,150,-40.0,-59.0,43.0,-35.390271442960795,-55.7822912093239,43.2541386725786,H0351_1012,200,0.0
513,126434422,4143,13,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",112193022,151,105,150,-60.0,-59.0,4.0,-55.0570918313628,-58.0916985725016,2.5026649847040803,H0351_1012,156,0.0
514,126434433,4074,10,CX,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",111794653,100,63,117,-9.0,-26.0,46.0,-7.05501904658543,-28.820468960573898,46.6204120455048,H0351_1012,152,0.0
515,126434437,4151,10,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",111794576,151,137,117,-60.0,-26.0,-28.0,-59.28101560943829,-27.297676622347698,-25.655090674769898,H0351_1012,134,0.0
516,126434440,4158,11,CX,FuG-its,"fusiform gyrus, left, bank of the its",111795832,139,131,129,-48.0,-38.0,-22.0,-48.534351974608605,-36.719094390585205,-17.1940209183479,H0351_1012,134,0.0
518,126434446,4106,13,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",112194026,134,68,151,-43.0,-60.0,41.0,-37.7706611697721,-54.507142128908605,41.4972028148923,H0351_1012,108,0.0
520,126434459,4230,10,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",111794654,99,66,117,-8.0,-26.0,43.0,-5.7247492456204805,-29.302577541753898,43.325056689377206,H0351_1012,168,0.0
521,126434461,4088,11,CX,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",111796047,112,36,129,-21.0,-38.0,73.0,-19.7567260120517,-39.4072511716919,70.9128125588177,H0351_1012,178,0.0
522,126434463,4159,11,CX,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",111795831,120,128,129,-29.0,-38.0,-19.0,-29.7047787885068,-38.243832865738895,-17.2984376926001,H0351_1012,124,0.0
523,126434466,4135,12,CX,STG-l,"superior temporal gyrus, left, lateral bank of gyrus",112191536,159,76,140,-68.0,-49.0,33.0,-64.6140434384462,-48.760228448351604,35.150658231576,H0351_1012,196,1.0
524,126434469,4121,13,CX,Pcu-i,"precuneus, left, inferior lateral bank of gyrus",112194048,94,97,149,-3.0,-58.0,12.0,-2.6494149810892598,-57.666081536344,8.02190195132629,H0351_1012,170,1.0
525,126434472,4151,13,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",112193023,150,108,150,-59.0,-59.0,1.0,-54.524161186527394,-58.8239110858653,0.11015387518508,H0351_1012,156,0.0
526,126434480,4231,10,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",111794655,95,77,117,-4.0,-26.0,32.0,-4.44463095463646,-27.615061102133197,30.0529502332967,H0351_1012,168,0.0
527,126434483,4120,11,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",111795933,93,57,129,-2.0,-38.0,52.0,-0.908824742141193,-38.5990732151752,51.4493675052564,H0351_1012,170,2.44948983192444
528,126434485,4136,11,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",111796075,155,109,129,-64.0,-38.0,0.0,-63.976733133253205,-38.9278805334541,2.08271960141017,H0351_1012,156,0.0
531,126434499,4231,10,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",111794656,95,74,117,-4.0,-26.0,35.0,-4.38202509667134,-28.453047306875302,33.2139682894935,H0351_1012,168,0.0
532,126434502,4230,11,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",111795932,96,74,129,-5.0,-38.0,35.0,-5.47378480787278,-37.419939563210896,34.0221963199206,H0351_1012,168,0.0
533,126434504,4142,11,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",111796074,154,112,129,-63.0,-38.0,-3.0,-63.0852272719304,-38.9880350159944,-0.7824613803404179,H0351_1012,156,0.0
534,126434506,4149,12,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",112191794,142,125,138,-51.0,-47.0,-16.0,-50.1121688176715,-47.0870268474541,-10.605414600417,H0351_1012,134,1.0
535,126434508,4194,13,CX,LiG-str,"lingual gyrus, left, striate",112196091,113,107,150,-22.0,-59.0,2.0,-20.02578696668,-60.402560666274006,-0.7961629874917829,H0351_1012,136,0.0
536,126434521,4088,10,CX,PoG-sl,"postcentral gyrus, left, superior lateral aspect of gyrus",111794498,143,47,118,-52.0,-27.0,62.0,-47.8535794652651,-28.734505228366398,65.3270038511731,H0351_1012,178,1.0
537,126434524,4231,11,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",111795931,97,84,129,-6.0,-38.0,25.0,-6.75933116119602,-36.780730352739205,21.1431967979766,H0351_1012,168,2.2360680103302
