"well_id","structure_id","slab_num","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z","corrected_mni_x","corrected_mni_y","corrected_mni_z","sampleID","probe2label","probe2dist"
225,4023,6,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",27684,93,62,32,1.7,57.3,22.5,1.34425409208511,56.7516214991004,15.890858135215,"H0351_2001",153,1
226,4123,28,"CX","Pcu-s","precuneus, right, superior lateral bank of gyrus",27306,87,53,143,5.2,-56.3,53.9,5.51229826771689,-56.6567832678991,45.5935717418505,"H0351_2001",169,0
227,4186,28,"CX","Cun-pest","cuneus, left, peristriate",27487,94,86,146,-2.5,-68.9,19.1,-1.91461447885108,-69.9671100516275,13.9055424633266,"H0351_2001",110,0
233,4899,6,"CX","SRoG","superior rostral gyrus, right",28093,89,75,32,5.9,53.7,8.7,2.49918642116334,54.4998615299649,2.11308918671838,"H0351_2001",153,0
234,4099,28,"CX","SPL-i","superior parietal lobule, left, inferior bank of gyrus",27323,124,61,146,-34,-62.6,45.2,-33.8252978248669,-63.9613958466772,40.8215976866792,"H0351_2001",108,2.44948983192444
235,4194,28,"CX","LiG-str","lingual gyrus, left, striate",27486,99,97,148,-8,-74.2,7.6,-8.99249881606297,-75.3917525424224,2.87569605930351,"H0351_2001",136,1.41421353816986
241,4024,6,"CX","SFG-l","superior frontal gyrus, left, lateral bank of gyrus",27725,119,55,42,-25.9,48.1,31.4,-25.3170705214055,49.0615706176225,25.6254818140915,"H0351_2001",192,0
242,4113,28,"CX","AnG-s","angular gyrus, left, superior bank of gyrus",27324,128,49,149,-38.3,-62.5,58.6,-35.0229818664678,-61.8916346935424,54.4761287820333,"H0351_2001",108,1
243,4197,28,"CX","LiG-str","lingual gyrus, right, striate",27595,79,118,152,12.9,-83.8,-13.6,15.0136147937479,-83.5852802207988,-18.3324610212432,"H0351_2001",39,0
249,4902,6,"CX","IRoG","inferior rostral gyrus, right",27843,85,92,36,9.9,44.8,-8.6,7.58806698733224,47.1994395305243,-14.5722355271435,"H0351_2001",141,1
